date,amount,category
2026-07-01,-45.20,groceries
2026-07-02,-12.50,dining
2026-07-03,2500.00,income
2026-07-04,-89.00,utilities
2026-07-05,-15.30,dining
2026-07-06,-52.10,groceries
2026-07-07,-9.99,subscriptions
2026-07-08,-14.20,dining
2026-07-09,-200.00,rent
2026-07-10,-48.60,groceries
2026-07-11,-11.40,dining
2026-07-12,-9.99,subscriptions
2026-07-13,-63.00,groceries
2026-07-14,-125.00,dining
2026-07-15,2500.00,income
2026-07-16,-40.10,groceries
2026-07-17,-13.20,dining
2026-07-18,-89.00,utilities
2026-07-19,-9.99,subscriptions
2026-07-20,-55.80,groceries
